local_tuple,external_tuple,relevant,split
"Levonorgestrel Emergency Contraception ""PLAN B WORKS! Do not stress. I know that after an accident durning sex, the next couple of weeks can be stressful. I took plan b three days after unprotected sex, approximately 55 hrs later. He didn&#039;t finish in me but I was very scared of pre cum. Plan b made me very sick and stress also didn&#039;t help. The pill made my period come early and I couldn&#039;t have been happier. Take plan b and pray and you&#039;ll be fine. Don&#039;t stress because it will work.""","Levonorgestrel Levonorgestrel is a hormonal medication which is used in a number of birth control methods. As an emergency birth control, sold under the brand name Plan B among others, it is useful within 120 hours of unprotected sex. The more time that has passed since sex, the less effective the medication becomes, and it does not work after pregnancy (implantation) has occurred. It decreases the chances of pregnancy by 57 to 93%. It is also combined with an estrogen to make combination birth control pills. In an intrauterine device (IUD), such as Mirena among others, it is effective for the long-term prevention of pregnancy. An implantable form of levonorgestrel is also available in some countries.Common side effects include nausea, breast tenderness, headaches, and increased, decreased, or irregular menstrual bleeding. When used as an emergency contraceptive, if pregnancy occurs, there is no evidence that its use harms the baby. It is safe to use during breastfeeding. Birth control that contains levonorgestrel will not change the risk of sexually transmitted infections. It is a progestin and has effects similar to those of the hormone progesterone. It works primarily by preventing ovulation and closing off the cervix to prevent the passage of sperm.Levonorgestrel was patented in 1960 and introduced for medical use together with ethinylestradiol in 1970. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. It is available as a generic medication. The wholesale cost in the developing world is between $0.23 and $1.65 US for the dose required for emergency birth control. In the United States it is over the counter for all ages. In 2016 it was the 223rd most prescribed medication in the United States with more than 2 million prescriptions.",1,dev
"Etonogestrel Birth Control ""Okay. So I joined the military and they recommended this form of birth control to me because &quot;it was supposed to stop your period&quot; there were &quot; no side effects&quot; literally I bled for over a year and maybe 3 months of the entire year I would get a week break. Literally not even worth it. I would bleed so much, my mood swings were terrible, the depression was horrible and I would not recommend this to anyone. I&#039;m currently on skyla IUD and I find it Sooo much better. I did not get pregnant on this form of birth control mainly because I didn&#039;t even want to have sex. It kills your sex drive, makes you feel like you&#039;re going insane. 3 days after getting it removed is when I finally stopped bleeding and I felt like complete different person.""","Etonogestrel Etonogestrel is a progestin medication which is used as a means of birth control for women. It is available alone as an implant placed under the skin of the upper arm under the brand names Nexplanon and Implanon and in combination with ethinylestradiol, an estrogen, as a vaginal ring under the brand names NuvaRing and Circlet. Etonogestrel is effective as a means of birth control within 8 hours of insertion.Side effects of etonogestrel include menstrual irregularities, headaches, vaginitis, breast tenderness, mood changes, abdominal pain, pharyngitis, acne, and others. Etonogestrel is a progestin, or a synthetic progestogen, and hence is an agonist of the progesterone receptor, the biological target of progestogens like progesterone. It has very weak androgenic and glucocorticoid activity and no other important hormonal activity.Etonogestrel was patented in 1972 and introduced for medical use in 1998. It became available in the United States in 2006. Etonogestrel is sometimes referred to as a ""third-generation"" progestin. It is marketed throughout the world. A closely related and more widely known and used progestin, desogestrel, is a prodrug of etonogestrel in the body.",1,dev
"Vimpat Seizures ""Vimpat has some effectiveness for my partial seizures, but it is accompanied by other difficulties:

1. It gave me double vision early on. We had to balance my dosages of Vimpat and Lamictal to straighten out the problem.
2. I struggle with memory problems as a result of taking it. Sometimes I need to ponder extra long to even be able to recount what I did or learned just a few days before. And I&#039;m not always successful.
3.Vimpat has intensified my emotions, especially in causing me to weep. I used to go a whole year without shedding a tear. Now I often can&#039;t even go a whole day without crying a bit. I don&#039;t think it&#039;s depression. I usually am moved to tears over something I deem wonderfully moving. Just totally out of character for me.""","Lacosamide Lacosamide, sold under the brand name Vimpat among others, is a medication used in the adjunctive treatment of partial-onset seizures and diabetic neuropathic pain. It is used by mouth or intravenously.",1,dev
"Lisdexamfetamine ADHD ""Last year my oldest daughter who is now 9yrs old was diagnosed with ADD and the doctor put her on Aderrall but within a week took her off and right away put her on Vyvanse 30mg. It worked perfect for a while but now have to get her dosage raised because it wears off after only a few hours although the upside is that her grades have improved tremendously and now I also have an 8 yr old who was also diagnosed with ADHD and is also taking Vyvanse 30 mg and I&#039;ve noticed a real positive change in her concentration and her mood. I love it because she is also doing so much better in school.""","Lisdexamfetamine Lisdexamfetamine, sold under the brand name Vyvanse among others, is a medication that is used to treat attention deficit hyperactivity disorder (ADHD) in people over the age of five as well as for moderate to severe binge eating disorder in adults. Lisdexamfetamine is taken by mouth. In the United Kingdom it is usually less preferred than methylphenidate. Its effects generally begin within 2 hours and last for up to 12 hours.Common side effects of lisdexamfetamine include loss of appetite, anxiety, diarrhea, trouble sleeping, irritability, and nausea. Rare but serious side effects include mania, sudden cardiac death in those with underlying heart problems, and psychosis. It has a high potential for abuse per the DEA. Serotonin syndrome may occur if used with certain other medications. Its use during pregnancy may result in harm to the baby and use during breastfeeding is not recommended by the manufacturer. Lisdexamfetamine is a central nervous system (CNS) stimulant that works after being converted by the body into dextroamphetamine. Chemically, lisdexamfetamine is composed of the amino acid L-lysine, attached to dextroamphetamine.Lisdexamfetamine was approved for medical use in the United States in 2007. A month's supply in the United Kingdom costs the British National Health Service about Â£58 as of 2019. In the United States, the wholesale cost of this amount is about US$264. In 2017, it was the 91st most commonly prescribed medication in the United States, with more than eight million prescriptions. It is a Schedule II controlled substance in the United Kingdom and a Schedule II controlled substance in the United States.",1,dev
"Neurontin Migraine ""I started Neurontin 3 weeks ago for my migraines.  I started at 400 mg per day and now I&#039;m at 1200 mg per day.  I&#039;m supposed to go up to 1600 mg next week.  These are taken in divided doses. At first I didn&#039;t notice anything but today I woke up and I didn&#039;t have a headache (I&#039;ve had daily headaches along with frequent severe migraines for the past 3 straight months).  A mild one came and went a few times today but I feel better.  I&#039;m a bit sleepy and I&#039;ve been having some trouble remembering things (words, what I&#039;ve done, etc.) and I&#039;ve noticed that I&#039;ve been a little more moody (not by much) but overall I&#039;m happy that my headaches have improved.  They were ruining my life.""","Gabapentin Gabapentin, sold under the brand name Neurontin among others, is an anticonvulsant medication used to treat partial seizures, neuropathic pain, hot flashes, and restless legs syndrome. It is recommended as one of a number of first-line medications for the treatment of neuropathic pain caused by diabetic neuropathy, postherpetic neuralgia, and central neuropathic pain. About 15% of those given gabapentin for diabetic neuropathy or postherpetic neuralgia have a measurable benefit. Gabapentin is taken by mouth.Common side effects include sleepiness and dizziness. Serious side effects include an increased risk of suicide, aggressive behavior, and drug reactions. It is unclear if it is safe during pregnancy or breastfeeding. Lower doses are recommended in those with kidney disease associated with a low kidney function. Gabapentin is a gabapentinoid. It has a molecular structure similar to that of the neurotransmitter Î³-aminobutyric acid (GABA) and acts by inhibiting certain calcium channels.Gabapentin was first approved for use in 1993. It has been available as a generic medication in the United States since 2004. The wholesale price in the developing world as of 2015 was about US$10.80 per month; in the United States, it was US$100 to US$200. In 2017, it was the eleventh most commonly prescribed medication in the United States, with more than 46 million prescriptions. During the 1990s, Parke-Davis, a subsidiary of Pfizer, began using a number of illegal techniques to encourage physicians in the United States to use gabapentin for unapproved uses. They have paid out millions of dollars to settle lawsuits regarding these activities.",1,dev
"Venlafaxine Depression ""I&#039;ve struggled with depression since I was a teenager (and attempted suicide then). In college I started having panic attacks. A few years later I was put on this new medicine called Effexor (after getting no relief from Paxil nor Zoloft) and for the first time in my life I felt relatively normal!  I&#039;ve been on Effexor - 150 mg/day for 20 years now and it has REALLY helped me to function at a high level.  I have gone off it several times - VERY slowly, but each time, a few months after being completely off, BANG - unbelievable depression, and I&#039;d go back on. I&#039;m at peace knowing I&#039;ll most likely be on it form the rest of my life.  Helps with depression AND anxiety.  No problems drinking while taking it, had three healthy kids while on it.""","Venlafaxine Venlafaxine, sold under the brand name Effexor among others, is an antidepressant medication of the serotonin-norepinephrine reuptake inhibitor (SNRI) class. It is used to treat major depressive disorder (MDD), generalized anxiety disorder (GAD), panic disorder, and social phobia. It may also be used for chronic pain. It is taken by mouth.Common side effects include loss of appetite, constipation, dry mouth, dizziness, sweating, and sexual problems. Severe side effects include an increased risk of suicide, mania, and serotonin syndrome. Antidepressant withdrawal syndrome may occur if stopped. There are concerns that use during the later part of pregnancy can harm the baby. How it works is not entirely clear but it is believed to involve alterations in neurotransmitters in the brain.Venlafaxine was approved for medical use in the United States in 1993. It is available as a generic medication. In the United States the wholesale cost per dose is less than US$0.20 as of 2018. In 2017, it was the 49th most commonly prescribed medication in the United States with more than 16 million prescriptions.",1,dev
"Ziprasidone Bipolar Disorde ""Geodon has been a life saver.  It took awhile to get the right dose and know when to take it (AM versus PM), but I am doing great now.  I take it in the evening and still have morning grogginess after several months.  My doctor prescribed Provigil which really helps (although costly).  I take the Geodon in conjunction with Lamictal.  I have less agitation and find (at least my family finds) that I am much less hostile than before.  Do be careful in the heat as I got very sick from overheating and follow instructions and do not drink alcohol.  One pina colada felt like a whole case of beer.""","Ziprasidone Ziprasidone, sold under the brand name Geodon among others, is an atypical antipsychotic used to treat schizophrenia and bipolar disorder. It may be used by mouth and by injection into a muscle (IM). The IM form may be used for acute agitation in people with schizophrenia.Common side effects include dizziness, drowsiness, dry mouth, and twitches. Although it can also cause weight gain, the risk is much lower than for other antipsychotics. How it works is not entirely clear but is believed to involve effects on serotonin and dopamine in the brain.Ziprasidone was approved for medical use in the United States in 2001. The pills are made up of the hydrochloride salt, ziprasidone hydrochloride. The intramuscular form is the mesylate, ziprasidone mesylate trihydrate, and is provided as a lyophilized powder. In 2017, it was the 261st most commonly prescribed medication in the United States, with more than one million prescriptions.",1,dev
"Vraylar Bipolar Disorde ""So I have been on almost every anti-psychotic out there. So now my pdoc put me on Vraylar. I was going through a bad mixed episode, severe depression, not leaving the house, racing thoughts, etc. The Vraylar has helped with all of that. My pdoc started me at 1.5mg for 2 days then upped it to 3mg. The depression got better almost immediately but now I&#039;m having extreme anxiety- can&#039;t stop moving my leg. So he increased it yesterday to 4.5mg &amp; so far no change in the anxiety but its only been 1 day. I&#039;m just hoping the anxiety is due to the episode &amp; not a side effect of this med. Altho now I&#039;m feeling a tad manic. Also, sleep has been an issue. It makes me sleepy but I sleep restlestless &amp; wake up at 7am, but I&#039;m wide and rested so its ok.""","Cariprazine Cariprazine (), sold under the brand names Vraylar in the United States and Reagila in Europe, is an atypical antipsychotic which is used in the treatment of schizophrenia, bipolar mania, and bipolar depression. It acts primarily as a D3 receptor and D2 receptor partial agonist, with high selectivity for the D3 receptor. Positive Phase III study results were published for schizophrenia and mania in early 2012, and for bipolar disorder I depression from a Phase II trial in 2015. It is also potentially useful as an add-on therapy in major depressive disorder.Rights are currently owned by Gedeon Richter and Actavis. The drug received FDA approval on September 17, 2015.",1,dev
"TriNessa Birth Control ""I&#039;ve been on Trinessa for a month and half now and I love it. There are so many bad reviews out there, I was really scared to try it but I&#039;m so glad I did. I haven&#039;t had any negative side effects except for sore breasts but it&#039;s not even bad. I don&#039;t feel the soreness unless I press on them. I was on Necon 7/7/7 for a month before Trinessa, but it made me break out horribly. Trinessa started to clear it up the first week. Now my skin is almost all clear. I don&#039;t have mood swings or headaches because of it. Birth control pills affect every woman differently so you should definitely try it before deciding it&#039;s no good.""","Norgestimate Norgestimate, sold under the brand names Ortho Tri-Cyclen and Previfem among others, is a progestin medication which is used in birth control pills for women and in menopausal hormone therapy. The medication is available in combination with an estrogen and is not available alone. It is taken by mouth.Side effects of the combination of an estrogen and norgestimate include menstrual irregularities, headaches, nausea, abdominal pain, breast tenderness, mood changes, and others. Norgestimate is a progestin, or a synthetic progestogen, and hence is an agonist of the progesterone receptor, the biological target of progestogens like progesterone. It has very weak androgenic activity and no other important hormonal activity. The medication is a prodrug of norelgestromin and to a lesser extent of levonorgestrel in the body.Norgestimate was patented in 1965 and introduced for medical use, specifically in birth control pills, in 1986. It was introduced for use in menopausal hormone therapy in the United States in 1999. Norgestimate is sometimes referred to as a ""third-generation"" progestin. It is marketed in birth control pills widely throughout the world, whereas it is available for use in menopausal hormone therapy only in the United States and Brazil. Norgestimate is available as a generic medication. In 2017, the version with ethinylestradiol was the 62nd most commonly prescribed medication in the United States, with more than twelve million prescriptions.",1,dev
"Acamprosate Alcohol Dependence ""I&#039;ve battled with booze for 20 years ten years ago started taking revia was taking it wrong started drinking than took the pill felt weird as hell quit/ next time take naltrexone monday though thursday no drinking get tanked on weekends lasted 3 months/ had 4 captain and cokes had my son in car decided to race aferrari 110 mph in a 30 mph zone hated myself. spent $ 1200 got a shot of vivitrol stayed sober for 34 days really worked started back easy got up to a handle every 3 days was outta control went to detox .day i got out had campral in medicine cabinet take 2 pills in morning 2 pills at 5pm 2,5 mg valium and 5mg valium at 9pm been sober for four months lost 25 pounds everybody notices the difference trust me this really works and its easy""","Acamprosate Acamprosate, sold under the brand name Campral, is a medication used along with counselling to treat alcohol dependence.Acamprosate is thought to stabilize chemical signaling in the brain that would otherwise be disrupted by alcohol withdrawal. When used alone, acamprosate is not an effective therapy for alcoholism in most individuals; studies have found that acamprosate works best when used in combination with psychosocial support since it facilitates a reduction in alcohol consumption as well as full abstinence.Serious side effects include  allergic reactions, abnormal heart rhythms, and low or high blood pressure, while less serious side effects include headaches, insomnia, and impotence. Diarrhea is the most common side-effect. Acamprosate should not be taken by people with kidney problems or allergies to the drug.Until it became a generic in the United States, Campral was manufactured and marketed in the United States by Forest Laboratories, while Merck KGaA markets it outside the US.",1,dev
"Montelukast Asthma ""I have had asthma every since I was born, montelukast helps me breath every day if I don&#039;t take it I can&#039;t breath but it causes me severe stomach pains, sometimes anxiety, depression, red blotches one my face, I get the sweats and nausea. These are some of the long-term affects I suffer with I would not suggest taking it eternally""","Montelukast Montelukast, sold under the brand name Singulair among others, is a medication used in the maintenance treatment of asthma. It is generally less preferred for this use than inhaled corticosteroids. It is not useful for acute asthma attacks. Other uses include allergic rhinitis and hives of long duration. For allergic rhinitis it is a second line treatment. It is taken by mouth.Common side effects include abdominal pain, cough, and headache. Severe side effects may include allergic reactions, such as anaphylaxis and eosinophilia. Use in pregnancy appears to be safe. Montelukast is in the leukotriene receptor antagonist family of medications. It works by blocking the action of leukotriene D4 in the lungs resulting in decreased inflammation and relaxation of smooth muscle.Montelukast was approved for medical use in the United States in 1998. It is available as a generic medication. In the United States, the wholesale cost per dose is less than 0.15 USD as of 2018. In 2017, it was the 16th most commonly prescribed medication in the United States, with more than 31 million prescriptions.",1,dev
"Levonorgestrel Birth Control ""I had the Mirena IUD placed 4 weeks ago. I had heard that the initial placement can be very painful, however, I only felt a very slight ache/pressure when my doc put it in. He even had to manually expand my cervix because it wouldn&#039;t open for him at all. But even with that, it wasn&#039;t bad. I did bleed quite a bit after insertion because he had to pry everything open basically lol. But really not a bad experience. I rated it at an 8 because I&#039;ve been bleeding since about day 5 post insertion. It varies from light spotting to full blown period heaviness from day to day (cramps too) and hasn&#039;t stopped for 3 weeks. Its quite a mood killer :/ but I&#039;d still choose this over the pill, honestly. The bleeding is the only downside for me.""","Levonorgestrel Levonorgestrel is a hormonal medication which is used in a number of birth control methods. As an emergency birth control, sold under the brand name Plan B among others, it is useful within 120 hours of unprotected sex. The more time that has passed since sex, the less effective the medication becomes, and it does not work after pregnancy (implantation) has occurred. It decreases the chances of pregnancy by 57 to 93%. It is also combined with an estrogen to make combination birth control pills. In an intrauterine device (IUD), such as Mirena among others, it is effective for the long-term prevention of pregnancy. An implantable form of levonorgestrel is also available in some countries.Common side effects include nausea, breast tenderness, headaches, and increased, decreased, or irregular menstrual bleeding. When used as an emergency contraceptive, if pregnancy occurs, there is no evidence that its use harms the baby. It is safe to use during breastfeeding. Birth control that contains levonorgestrel will not change the risk of sexually transmitted infections. It is a progestin and has effects similar to those of the hormone progesterone. It works primarily by preventing ovulation and closing off the cervix to prevent the passage of sperm.Levonorgestrel was patented in 1960 and introduced for medical use together with ethinylestradiol in 1970. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. It is available as a generic medication. The wholesale cost in the developing world is between $0.23 and $1.65 US for the dose required for emergency birth control. In the United States it is over the counter for all ages. In 2016 it was the 223rd most prescribed medication in the United States with more than 2 million prescriptions.",1,dev
