local_tuple,external_tuple,relevant
apple software m9953z/a remote desktop 2.2 10 client the 10-client version allows one administrator to manage up to 10 mac os x computers. apple remote desktop 2 delivers over 50 new features including vnc-compatible screen sharing remote shell scripts task lists and remote boot disk selection. ... apple software 294.99,apple remote desktop 2.2 10 client (old version) remote desktop 2.2 makes it easier than it's ever been to manage a network and install new software. with over 50 new features and countless enhancements you'll manage your network effcieintly without having to leave your office. state-of-the-art software distribution makes installing software a virtual walk in the park. distribute software configure systems offer real-time online help and create detailed hardware and software reports. extend a helping hand without leaving your desk with tools for the best technical assistance possible. use remote shell scripts to take the legwork out of your administrative tasks - shut down restart or sleep any mac in your network without getting up from your desk as well as lock screens or empty trash. if you're an administrator you'll know everything you need to know about your macs -- the available hard drive space network settings and software version even when they're offline. stores profiles for every mac whether it's on the network permanently or leaves regularly; tracks offline computers and updates their information for better managing of powerbooks and ibooks apple 299,1
knowledge adventure inc. jumpstart 4th-6th grade v 2.0 b43 16.93,jumpstart 4th-6th grade v 2.0 b43 knowledge adventure 19.99,1
avanquest usa llc britannica deluxe encyclopædia britannica deluxe gives you the resources you need to explore the world in a fun and easy way. designed for adults and students alike this comprehensive reference library provides you with the most complete up-to date and in-depth ... 26.11,britannica deluxe avanquest software 29.95,1
corel corporation corel snapfire plus ignite photo fun with corel snapfire plus! this easy-to-use software helps you easily retouch photos like a pro share them in new entertaining ways backup your collection and so much more! system requirements: windows xp wind 37.2,corel snapfire plus [ignite photo fun] corel snapfire plus features a series of great image-editing photo-management tools and creative photo-project templates that help you import edit snapfire plus offers easy-to-use image-editing tools intuitive photo-management features and a great selection of photo-project templates. and share your images. designed to seamlessly integrate with the powerful image editing and organization features of corel paint shop pro photo xi corel snapfire plus lets you create a variety of eye-catching calendars collages certificates and much more. the integrated photo doctor removes the guesswork from image correction by analyzing a digital image and recommending any necessary changes. snapfire plus also lets you create impressive eye-catching slide shows from your photos and video clips. the software includes many creative photo project templates designed to inspire you to do more with your photos. with drag-and-drop simplicity you can easily create stunning album pages greeting cards calendars and collages. meanwhile the included corel photo downloader automatically downloads photos whenever you plug a camera or card reader into your computer giving you a thumbnail of each image on the device so that you can choose which images to import. corel 39.99,1
jungle software gorilla student 4.0 film production power pc© g3 or intel processor 256mb ram 512mb recommended 400mb available hard disk space macintosh os x 10.2 and above monitor capable of 1024x768 screen resolution 179.99,gorilla 4 student you don't have to be a student to buy the student edition -- all you need it an idea a few people willing to work on your project and a copy of gorilla the student edition. this edition includes everything you need to help put your production together. and when you're ready upgrade to pro! colleges and universities are embracing gorilla. it's the perfect tool to help young or new filmmakers learn how to put together a film or video from start to finish. jungle software 199,1
adobe cs3 design standard system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 5.3gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ... 1243.99,adobe creative suite cs3 design standard [mac] adobe creative suite 3 design standard software is the indispensable toolkit for professional design and print production. it combines all-new versions of essential tools for page layout image editing illustration and adobe pdf workflows in a tightly integrated creative environment. with design standard you can express and print your ideas faster and more easily than ever before. design and print graphically rich materials such as magazine spreads with the tightly integrated productive tools in adobe creative suite 3 design standard. master deadlines in design and print production adobe creative suite 3 design standard software is the indispensable toolkit for professional design and print production offering all-new versions of essential tools for page layout image editing illustration and adobe pdf workflows. design with essential tools take your designs from concept to completion with adobe creative suite 3 design standard which helps you create and print your best work. from sketching concepts to finessing production details you can create beautiful sophisticated designs with creative suite design standard. take advantage of new creative effects and finer transparency controls in adobe indesign software; explore apply and control color variations using the new live color environment in adobe illustrator software; and apply new nondestructive smart filters in adobe photoshop software. design standard helps you express your best ideas more easily and efficiently than ever before. keep your ideas flowing adobe creative suite 3 design standard lets you slip into the creative zone and stay there by offering tight integration and shared productivity features that enable you to move fluidly between tasks. easily share assets among components--double-click an asset in an indesign layout to quickly open it in photoshop or illustrator for example or use smart objects to nondestructively edit illustrator artwork in photoshop. visually manage assets in adobe bridge manage workgroup files with adobe version cue and shop for royalty-free images using adobe stock photos--all from within design standard. print with confidence enjoy rock-solid streamlined print production using creative suite 3 design standard. generate predictable printed output with features such as synchronized color settings and shared pdf presets. help minimize errors by using output previews before you print and exert fine control over output using consistent comprehensive professional printing options. streamline prepress using adobe acrobat software to preflight and correct adobe pdf files and to automate workflows with jdf. with design standard you can reliably print beautiful content with the utmost efficiency. adobe photoshop cs3 for unrivaled image editing adobe illustrator cs3 for inspired vector graphics creation adobe indesign cs3 for professional page layout adobe acrobat 8 professional for efficient adobe pdf workflows audience benefit design professionals--express your ideas in print using adobe creative suite 3 design standard software the graphic designer's indispensable toolkit for professional design and print production. creative suite 3 design standard offers a tightly integrated unified creative environment that combines essential tools for professional page layout image editing illustration and adobe pdf workflows with visual asset management workgroup file management and other shared productivity features. with design standard you can remove technical distractions and find your creative flow producing and printing beautiful content faster and more easily than ever before. print professionals--adobe creative suite 3 design standard software is adobe's high-quality creation and production environment for reliable print layout and output. it combines full new versions of adobe's leading design and print production tools--adobe indesign cs3 photoshop cs3 illustrator cs3 and acrobat 8 professional--with integrated productivity features all in a unified creative environment. design standard gives you and your customers streamlined controls for more consistent color and press-ready adobe pdf files including support for new pdf/x-4 (draft) and pdf/a industry standards in acrobat 8 professional as well as preflighting with automated file correction and support for jdf automation. creative suite 3 design standard helps you realize smooth production processes and reliable final output. it professionals--adobe creative suite 3 design standard software enables creative teams to realize their ideas more quickly and efficiently than ever before. built on industry standards to provide long-term compatibility design standard can be deployed easily across networks is extensible and scriptable and can be tailored to meet a variety of specialized publishing needs. design standard combines full new versions of adobe's essential design and print production tools--adobe indesign cs3 photoshop cs3 illustrator cs3 and acrobat 8 professional--with integrated productivity features for creative workgroups. offering a single installer and serial number for easy installation and backed by the quality and reliability adobe is known for creative suite 3 design standard meets the design and print production needs of your creative team. visually manage assets in adobe bridge test mobile designs in adobe device central coordinate with team members using adobe version cue host real-time web-based meetings with adobe acrobat connect top new benefits of adobe creative suite 3 design standard all-new versions of essential creative tools experience a highly productive creative toolkit with adobe indesign cs3 for professional page layout adobe photoshop cs3 for unrivaled image editing adobe illustrator cs3 for inspired vector graphics creation and adobe acrobat 8 professional for efficient adobe pdf workflows. unified design environment work efficiently in an interface that's common across many components of design standard. new self-adjusting panels dock conveniently out of your way when not in use and pop out when you need them. maximize screen mode keeps panels from overlapping the document window. support for the latest mac and windows systems get the most out of design standard on intel based mac systems and microsoft windows vista computers. work smoothly on legacy powerpc based mac and windows xp systems as well. efficient powerful page design with adobe indesign cs3 explore more creative possibilities and experience new levels of productivity using indesign cs3 which offers powerful features for creating graphically rich complex documents; professional typographic controls; and robust reliable printing. inspired vector graphics creation in adobe illustrator cs3 explore apply and control color variations using live color in illustrator cs3. select and align points and edit paths more easily than ever define crop areas interactively for print or export and enjoy improved operating performance. powerful digital imaging with adobe photoshop cs3 select image regions more intuitively apply filters nondestructively and align and blend similar images to quickly produce the best composite using photoshop cs3. pdf file creation and collaboration with adobe acrobat 8 professional create reliable final print documents using acrobat 8 professional. conduct server-based shared reviews preflight and automatically correct adobe pdf files and work in a more streamlined intuitive interface. visual media management in adobe bridge cs3 efficiently organize browse locate and preview assets with adobe bridge cs3 which offers faster performance; customizable workspaces; nondestructive batch-editing of tiff jpeg and camera raw files; direct playback of flash files; and direct access to useful services such as adobe stock photos*. real-time interactive web conferences with acrobat connect use bridge or acrobat to launch acrobat connect the web-based conferencing system for real-time interactive meetings such as design reviews. for a low monthly fee host online conferences in a meeting room that you set up once and is readily available. advanced workgroup file management with adobe version cue cs3 use version cue to manage the use of files within creative teams. track multiple versions prevent overwriting find the files you need quickly conduct browser-based adobe pdf reviews and control access to files on a project-by-project basis. additional features unprecedented integration for exceptional productivityenjoy a consistent design experience across indesign illustrator and photoshop with shared interface elements such as self-adjusting panels that dock out of your way when not in use. and use native file formats smoothly across software components to streamline design and production. powerful color and printing capabilities print photoshop composites illustrator artwork and indesign layouts with confidence thanks to robust color options consistent color settings and professional output controls for high-quality printing. exceptional native file format support open photoshop images in illustrator and illustrator artwork in photoshop and place both types of native files as well as adobe pdf files in indesign layouts. streamline your design and production processes in myriad ways using native file format support. reliable adobe pdf workflows use adobe pdf to create reliable and consistent final output streamline print productionincluding automatically fixing mistakes found during preflight and automate processes using jdf. cross-media publishing contribute your assets to cross-media workflows. hand off photoshop image comps for use in web prototyping preview illustrator artwork as it might appear on a mobile device and export indesign layouts as xhtml for use by colleagues in web page layouts. shared features and services work more efficiently using a host of shared features and services including adobe stock photos* for purchasing royalty-free images; acrobat connect* for hosting web-based interactive meetings; and version cue cs3 for workgroup file management. powerful jdf workflows automatically convert adobe indesign files to adobe pdf and preflight and validate them against the targeted output intent (including number of pages page size and more) using enhanced jdf-based workflows. streamlined print production preflight adobe pdf files in acrobat and fix problems before they get to press. automatically correct hairlines downsample image resolution flatten transparency and more. efficient and easy-to-manage deployment easily deploy design standard using a single installer and serial number and track manage and accurately allocate adobe software assets using adobe license manager. industry-standard scripting automate tasks across design standard by writing scripts in javascript applescript microsoft visual basic and extendscript. * online services including but not limited to adobe stock photos and acrobat connect may not be available in all countries languages and currencies. availability of services is subject to change. use of online services is governed by terms and conditions of a separate agreement and may be subject to additional fees. for details visit www.adobe.com. adobe creative suite 3: what's in each edition? adobe creative suite 3 editions design premium design standard web premium web standard production premium master collection adobe photoshop cs3 extended adobe photoshop cs3 adobe illustrator cs3 adobe indesign cs3 adobe acrobat 8 professional adobe flash cs3 professional adobe dreamweaver cs3 adobe contribute cs3 adobe fireworks cs3 adobe after effects cs3 professional adobe premiere pro cs3 adobe soundbooth cs3 adobe encore cs3 adobe onlocation * adobe ultra cs3 * additional features and services in adobe creative suite 3 adobe bridge cs3 adobe version cue cs3 adobe device central cs3 adobe dynamic link adobe stock photos adobe acrobat connect * adobe ultra runs on microsoft windows only. for macintosh users adobe onlocation requires bootcamp and windows (purchased separately) or a separate windows-based computer. adobe 1199,1
hewlett packard ba154aa dp open file agent win 5wkst ltu dp open file agent win 5wkst ltu 320.44,ov data protector open file 5-wk v.9 ltu incl ltu for 5 win nt/2000/xp workstati hewlett packard 0,1
clickart 950000 - premier image pack (dvd-rom) massive collection of images & fonts for all your design needs ondvd-rom!product informationinspire your creativity and perfect any creative project with thousands ofworld-class images in virtually every style. plus clickart 950000 makes iteasy for ... 48.95,clickart 950 000 - premier image pack (dvd-rom) broderbund 0,1
mp3 radio recorder for ipod overview now legal mp3 recording from the webcast music server made possible with x-oom mp3 radio recorder for ipod. webcast is a webbased radio streaming server. it is widely used by a lot of people so you can freely listen to your favourite music. ... 22.9,x-oom mp3 radio recorder ( windows ) mp3 radio recorder makes it easy to legally record mp3s of your favorite internet stations. choose from over 6 000 different radio stations and record their audio streams. the software turns them into mp3 .wav of ogg vorbis format. you can record up to 20 streams of your favourite tracks legally at one time then copy your music files directly to your ipod or onto a usb storage device. x-oom 0,1
got game entertainment - exclusive - 00050 - scratches: directors cut scratches is an atmospheric mystery adventure game for the pc brimming with eerie twists and terrifying surprises. set in and around a solitary victorian mansion concealing a terrible secret a long since forgotten story from the past emerges to ... 15.58,scratches: directors cut scratches is a terrifying story where a story from the past emerges to haunt the present. you control famed horror writer michael arthate as he explores blackwood manor a victorian house near an english market town. it's a quiet and pleasant existance until odd noises in the basement keep him up at night. as they grow louder you'll explore the house and unlock the strange tales that echo through its walls. special director's cut includes: alternate ending and 2 additional hours of gameplay. got game 19.99,1
sony sams7000 - creative software acid music studio v.7.0 - music editing/composing - pc sony sams7000 : acid music studio music creation and mixing software if you're serious about making your own music acid music studio software is the perfect tool for original song creation multitrack audio and midi recording studioquality mixing ... 53.97,acid music studio 7 if you're serious about making your own music acid music studio software is the perfect tool for original song creation live recording and studio-quality mixing and effects processing. share your songs any way you want ? burn your own cds upload to the web or export to your mp3 player. with built-in tutorials to guide you you'll be composing mixing and mastering like a pro in no time. create original music by combining the included music loops ? over 1 700 of them ? or record and edit your own live performances create custom soundtracks for your video projects created in vegas movie studio+dvd software or other applications show me how tutorials go beyond the booklets and basic tutorials that other solutions provide. these extraordinary helpers are built right into the software ? just click show me how to access simple interactive help on over 20 topics create your own cds in minutes. cd layout and burning is fully integrated into the software so you can conveniently create your music and produce professional-sounding cds all within one application want to get heard? acidplanet is the premier internet site for musicians and content developers. join acidplanet.com to upload and share compositions remix songs from major-label artists and collaborate with other members on a wide range of music and video projects new! vst audio effect support new! asio driver support new! edit source project chopper editing tool to edit and clone loops beatmapper tool for easy remixing track-level volume panning and effects editing master bus track for project-wide volume and pan fades sony media 78.95,1
